VocabularyEN,VovabularyCH,Category
agile,a.敏捷的，灵活的,GRE
agility,n.敏捷,GRE
agitate,v.搅动，煽动；使不安，使焦虑,GRE
agitated,a.被鼓动的；不安的,GRE
agnostic,a.不可知论的,GRE
agog,a.兴奋的，有强烈兴趣的,GRE
agony,n.极大痛苦,GRE
agrarian,a.土地的,GRE
agreeable,a.令人喜悦的；欣然同意的,GRE
agronomy,n.农学，农艺学,GRE
ail,v.生病,GRE
airborne,a.空气传播的；空运的,GRE
airtight,a.密闭的，不透气的,GRE
alabaster,a.雪白的,GRE
alacrity,n.乐意，欣然；敏捷，活泼,GRE
albeit,conj. 虽然，尽管,GRE
alchemy,n.炼金术,GRE
alcove,n.凹室,GRE
alert,a.警惕的，机警的; n.警报,GRE
alias,n.化名，别名,GRE
alibi,n.某人当时不在犯罪现场的申辩或证明,GRE
alienate,v.疏远，离间某人,GRE
align,v.将某物排列在一条直线上；与某人结盟,GRE
alimentary,a.饮食的，营养的,GRE
alkali,n.碱,GRE
allay,v.减轻，缓和,GRE
allege,v.(无证据)陈述，宣称,GRE
allegiance,n.忠诚，拥护,GRE
allegory,n.寓言,GRE
allergic,a.过敏的；对…讨厌的,GRE
allergy,n.过敏症；厌恶,GRE
alleviate,v.缓和，减轻,GRE
allocate,v.配给，分配,GRE
allowance,n.津贴，补助；承认，允许,GRE
allude,v.间接提到，暗指,GRE
alluring,a.吸引人的，迷人的,GRE
allusion,n.暗示，间接提示,GRE
aloft,adv.在空中，在头顶上,GRE
aloof,a.冷淡的，疏远的,GRE
alphabetical,a.按字母表顺序的,GRE
alter,v.改变，更改,GRE
alternate,a.轮流的，交替的；v.轮流，交替n.候选人，替代性选择,GRE
altruism,n.利他主义；无私,GRE
altruistic,a.无私的，为他人着想的,GRE
aluminium,n.铝,GRE
amalgam,n.混合物,GRE
amalgamate,v.合并；混合,GRE
amass,v.积聚,GRE
amateur,n.业余爱好者,GRE
amateurish,a.业余爱好的，不熟练的,GRE
ambidextrous,a.十分灵巧的,GRE
ambiguous,a.含糊的,GRE
ambivalence,n.矛盾心理,GRE
ambivalent,a.(对人或物)有矛盾看法的,GRE
amble,n./v.漫步，缓行,GRE
ambush,v.埋伏；伏击,GRE
ameliorate,v.改善，改良,GRE
amenable,a.愿服从的，通情达理的,GRE
amend,v.修正；通常向更好的方向变化,GRE
amendment,n.改正，修正；[法]修正案,GRE
amenity,n.礼仪；使人感到舒适的事物,GRE
amiable,a.和蔼的，亲切的,GRE
amicable,a.友好的,GRE
amity,n.(人或国之间的)友好关系,GRE
amnesia,n.健忘症,GRE
amnesty,n.大赦，特赦,GRE
amorphous,a.无定形的,GRE
amortize,v.分期偿还,GRE
amphibian,n.两栖动物；水陆两用飞行器,GRE
ample,a.富足的；充足的,GRE
amplify,v.放大；详述,GRE
amplitude,n.广大，广阔,GRE
amulet,n.护身符,GRE
amuse,v.使愉快，逗某人笑,GRE
anachronistic,a.年代出错的,GRE
anaerobic,a.厌氧的,GRE
anagram,n.变形词,GRE
analgesia,n.无痛觉，痛觉丧失,GRE
analgesic,n.镇痛剂；a.止痛的,GRE
analogous,a.类似的,GRE
analogy,n.相似；类比,GRE
analyze,v.分析，分解,GRE
anarchist,n.无政府主义者,GRE
anarchy,n.无政府;政治上的混乱,GRE
anathema,n.被诅咒的人；宗教意义的诅咒,GRE
anatomical,a.解剖学的,GRE
ancestor,n.祖先，祖宗,GRE
ancestry,n.家系,GRE
anchor,v.稳固；固定n.锚,GRE
ancillary,a.辅助的；n.助手,GRE
anecdote,n.短故事；轶事,GRE
anemia,n.贫血，贫血症,GRE
anesthetic,n.麻醉剂；a.麻醉的,GRE
anguish,n.极大痛苦,GRE
angular,a.有角的；(指人)瘦削的,GRE
anhydrous,a.无水的,GRE
animate,a.活的，有生命的；v.赋予生命,GRE
animated,a.活泼的，生动的,GRE
animation,n.活泼，有生气；卡通制作,GRE
animosity,n.憎恶，仇恨,GRE
animus,n.敌意，憎恨,GRE
annals,n.编年史,GRE
annexation,n.并吞，合并,GRE
annihilate,v.消灭,GRE
annotate,v.注解,GRE
announce,v.宣布，发表；通报…的到来,GRE
annoy,v.惹恼；打搅，骚扰,GRE
annul,v.宣告无效；取消,GRE
anomalous,a.反常的；不规则的,GRE
anomaly,n.异常，反常,GRE
anonymity,n.无名，匿名,GRE
anonymous,a.匿名的,GRE
anorexia,n.厌食症,GRE
antagonism,n.反抗，敌意,GRE
antagonize,v.使对抗；与…对抗,GRE
Antarctic,a.南极的,GRE
antecedence,n.居先，优先,GRE
antecedent,n.前事；前辈；a.先行的,GRE
antediluvian,a.史前的；陈旧的,GRE
antenna,n.触角；天线,GRE
anterior,a.较早的，以前的,GRE
anthem,n.圣歌；赞美歌，国歌,GRE
anthology,n.诗集，文选,GRE
anthropologist,n.人类学家,GRE
antibiotic,n.抗生素,GRE
antibody,n.抗体(身体中的抗病物质),GRE
antic,a.古怪的,GRE
anticipate,v.预期，期待,GRE
anticipatory,a.预想的，预期的,GRE
anticlimax,n.令人扫兴的结局,GRE
antidote,n.解毒药,GRE
antihistamine,n.(治疗过敏的)抗组胺剂,GRE
antipathy,n.反感，厌恶,GRE
antiquated,a.陈旧的，过时的,GRE
antique,a.古时的，古老的；n.古物，古董,GRE
antiquity,n.古；古人；古迹,GRE
antiseptic,n.杀菌剂；a.防腐的,GRE
antithesis,n.对立；相对,GRE
anvil,n.铁砧,GRE
